id,chat,label,cleaned_message
6138,plis tlng report character modal ulti maksa maen,neutral,plis tlng report character modal ulti maksa maen
6139,bocah kntl build lu ngasal bego,harassment,bocah kntl build kamu ngasal bego
6140,duta myanmar aja ga berani usirharusnya besok hb sholat gruduk kedutaannya budha indonesia gagu,racist,duta myanmar saja tidak berani usirharusnya besok hb sholat gruduk kedutanya budha indonesia gagu
6141,user yaelah namanya orang sakit mental yg otaknya udah pindah silit wajar aja kalo denial,harassment,yaelah namanya orang sakit mental yang otaknya sudah pindah silit wajar saja kalau denial
6142,pendahulu memengusir cina 1 kota turun turun anakanak skrg siloam usir memengusir injak2,racist,pendahulu memengusir cina kota turun turun anakanak skrg siloam usir memengusir injak
6143,user iya kampret engga agama indo hancur lu hancur,violence,iya kampret enga agama indo hancur kamu hancur
6144,bocah mmk build lu ngasal bego,harassment,bocah mk build kamu ngasal bego
6145,cina tai babi pagi2 dah berkoar ucapan lo gk dibutuhkan nkri karna lo penjilat bangsakutu loncat,racist,cina tai babi pagi dah berkoar ucapan lo gk dibutuhkan nkri karna lo penjilat bangsakutu loncat
6146,islam dijadikan fitnah terorisme radikalisme islam indonesia saja\n\nkemungkinan terorisme peran elite global menjatuhkan menghancurkan serangkaian drama ya,neutral,islam dijadikan fitnah terorisme radikalisme islam indonesia sajankemungkinan terorisme peran elite global menjatuhkan menghancurkan serangkaian drama ya
6147,user user user cie cie ban cebong pura pura gag dibayar cie cie dasar cebong disodorin tulang aja cepat uang wkwkw,racist,cie cie ban cebong pura pura gag dibayar cie cie dasar cebong disodorin tulang saja cepat uang wkwkw
6148,penjoki anjg bintang ku terjun bebas,violence,penjoki anjg bintang ku terjun bebas
6149,\xe2\x80\xa2 nam shone film mengisahkan nam si cewe kuper yg ngefans\ndengan shone cowo ganteng nan populer bisa\ndeket shone salah satunya mengubah penampilan cewe culun\njadi cewe cantik,neutral,nam shone film mengisahkan nam si cewe kuper yang ngefansndengan shone cowo ganteng nan populer bisandeket shone salah satunya mengubah penampilan cewe culunjadi cewe cantik
6150,room kek labirin skalinya buff gk masak room kntol,harassment,rom kek labirin skalinya buf gk masak rom kntol
6151,cinta memandang kesempurnaan fisik memandang hati cinta buta,neutral,cinta memandang kesempurnan fisik memandang hati cinta buta
6152,penjoki bgst bintang ku terjun bebas,violence,penjoki bgst bintang ku terjun bebas
6153,ngefans berat tuh ama justin timberlake usher kalo korea suka dbsk suju shinhwa n kim tae hee,neutral,ngefans berat tuh ama justin timberlake usher kalau korea suka dbsk suju shinhwa n kim tae he
6154,room kek labirin skalinya buff gk masak room mmk,harassment,rom kek labirin skalinya buf gk masak rom mk
6155,disebuah negara coba dikuasai komunis cina,racist,disebuah negara coba dikuasai komunis cina
6156,user ban kampret hewan kotor kecebong hewan habitatnya sawah,racist,ban kampret hewan kotor kecebong hewan habitatnya sawah
6157,user kunyuk nih pasukan tukang burjoakun nye bokep melulu\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 url,harassment,kunyuk pasukan tukang burjoakun nye bokep melulu url
6158,org nk deactivate la drama countdown bajingan,violence,org nk deactivate la drama countdown bajingan
6159,hadeehhh tier neraka part 2,neutral,hadeh tier neraka part
6160,orang bilang genderowo sebenernya cinta dibandingkan besarnya genderowo,neutral,orang bilang genderowo sebenernya cinta dibandingkan besarnya genderowo
6161,user minggat gua line cebong barbar isinya,violence,mingat gua line cebong barbar isinya
6162,anak2ku besok menempuh ujian nasional siapkan kosentrasi belajar berani jujur raih prestasi terbaik,neutral,anaku besok menempuh ujian nasional siapkan kosentrasi belajar berani jujur raih prestasi terbaik
6163,alam budaya indonesia sungguh atraktif indah destinasi malaysia nggak apaapanya dibandingkan indonesia turis asing indonesia kalah malaysia,neutral,alam budaya indonesia sunguh atraktif indah destinasi malaysia ngak apapanya dibandingkan indonesia turis asing indonesia kalah malaysia
6164,cuk ping gw merah bgsstttt,violence,cuk ping saya merah bgst
6165,bug dibaikin montod skin tros yg update,violence,bug dibaikin montod skin tros yang update
6166,pd ngerti ngumpul gk ajig,violence,pd ngerti ngumpul gk ajig
6167,male maen gw njeng character nya bgo,violence,male maen saya njeng character nya bgo
6168,2 nomer dua2nya indosat pulsanya barusan ngeh kalo pulsa udah rp 0 ga dipake\nuser bangke\xe2\x80\xa6,violence,nomer duanya indosat pulsanya barusan ngeh kalau pulsa sudah rp tidak dipakenuser bangke
6169,cuk ping gw merah ajggggg,violence,cuk ping saya merah ajg
6170,pd ngerti ngumpul gk bgst,violence,pd ngerti ngumpul gk bgst
6171,batak bener2 manusia berwatak babi jaman user gencar bela cocotnx monyong klo ngomong skr user sanjung2 bak dewa skr sy sm kau batak babi bbm penjelasan bahan pokok tki pancung kemana cocotmu,racist,batak benar manusia berwatak babi jaman gencar bela cocotnx monyong klo ngomong skr sanjung bak dewa skr sy sama kau batak babi bm penjelasan bahan pokok tki pancung kemana cocotmu
6172,male maen gw njeng character nya gblk,violence,male maen saya njeng character nya gblk
6173,user buaya ngga bulu \xf0\x9f\x98\x91,neutral,buaya nga bulu
6174,sahabat budidaya prof memenuhi skala ekonomi teknologi state of the art supply chain management system yg terintegrasi sustainable development principle,neutral,sahabat budidaya prof memenuhi skala ekonomi teknologi state of the art suply chain management system yang terintegrasi sustainable development principle
6175,tahukah anda\n\npasangan heteroseksualstraight kebarangkalian dilanda kehamilan terancang berbanding pasangan homoseksuallesbian\n\ndan kadar membuang bayi pasangan heteroseksual berbanding pasangan homoseksual,neutral,tahukah andanpasangan heteroseksualstraight kebarangkalian dilanda kehamilan terancang berbanding pasangan homoseksualesbiandan kadar membuang bayi pasangan heteroseksual berbanding pasangan homoseksual
6176,kau buta 3vs5 mw dilawan,violence,kau buta vs mw dilawan
6177,user manusia yg terbuat tanah udah kecampur tai kucing,violence,manusia yang terbuat tanah sudah kecampur tai kucing
6178,kau picek 3vs5 mw dilawan,violence,kau picek vs mw dilawan
6179,user ancaman bom mata sipit lucu2an ya,racist,ancaman bom mata sipit lucuan ya
6180,report character anjing beban tim,violence,report character anjing beban tim
6181,bagusbersatu teguh berceraiaseng berkuasa url,racist,bagusbersatu teguh berceraiaseng berkuasa url
6182,mencairkan suasana membangun komunikasi dgn ngobrol amp tertawa bareng dgn ngevlog,neutral,mencairkan suasana membangun komunikasi dengan ngobrol amp tertawa bareng dengan ngevlog
6183,virus tingkat dewa pake antivirus ngga ketauan sarap abis,violence,virus tingkat dewa pake antivirus nga ketauan sarap abis
6184,character bct maen kek bot,violence,character bct maen kek bot
6185,olahraga namanya ekstrim bungee jumping banci jamping iya iya banci tumpakke trail banci njamping\xe2\x80\xa6,harassment,olahraga namanya ekstrim bunge jumping banci jamping iya iya banci tumpake trail banci njamping
6186,report character bgst beban tim,violence,report character bgst beban tim
6187,output yg mengecewakan,neutral,output yang mengecewakan
6188,character ccd maen kek bot,violence,character cd maen kek bot
6189,user user maklum kaum onta pekok indo otaknya dengkul,racist,maklum kaum onta pekok indo otaknya dengkul
6190,ava kemi najis bgt eek,violence,ava kemi najis banget ek
6191,org jawa otaknya dengkul,racist,org jawa otaknya dengkul
6192,character ngetroll game anjing indog,racist,character ngetrol game anjing indog
6193,indonesia sampek bener2 mw d kuasai cina penduduk asli jarang dapet kesempatan ni,racist,indonesia sampek benar mw d kuasai cina penduduk asli jarang dapet kesempatan ni
6194,character ngetroll game bgst ph,racist,character ngetrol game bgst ph
6195,user wkwkkwk jir beranya edna ga sipit,racist,jir beranya edna tidak sipit
6196,pengerok lelah sanggup ngerokin oke disudahi deh dikasih minyak cina finishing selesai beres2 ngambil gel pake,neutral,pengerok lelah sangup ngerokin ok disudahi deh dikasih minyak cina finishing selesai beres ngambil gel pake
6197,org cina otaknya dengkul,racist,org cina otaknya dengkul
6198,user ngaca idiot idiot manggil idiot,violence,ngaca idiot idiot mangil idiot
6199,org papua otaknya dengkul,racist,org papua otaknya dengkul
6200,kriti ditangkapin negara sinting,violence,kriti ditangkapin negara sinting
6201,user diajak dialog menolak wajar rakyat menuduh antek komunis,racist,diajak dialog menolak wajar rakyat menuduh antek komunis
6202,character ngetroll game anjing malay,racist,character ngetrol game anjing malay
6203,gw bilang cina babi kafir gw pengen gerombolannya cina babi merasakan bagaiamana klo anjing2in bangsat2in,racist,saya bilang cina babi kafir saya pengen gerombolanya cina babi merasakan bagaiamana klo anjingin bangsatin
6204,user tunggu saja\n\nada yg beda komunis komunis gaya baru\n\n,racist,tungu sajanada yang beda komunis komunis gaya barun
6205,surren ae cok si memk sibuk ngebuff,harassment,suren ae cok si memk sibuk ngebuf
6206,user sa nama akunnya kyk ndak asing ya cmn prasaanku doang user,neutral,sa nama akunya kyk ndak asing ya cmn prasanku doang
6207,user tolol bangsad,violence,tolol bangsad
6208,user aduh eek,neutral,aduh ek
6209,user user d jajah china dr jajah arab kebanyakn aturan kl g jual aja negaranya sm a biar yg bacot lansung tebas sok suci munafik jd orang koar2 dank bisanya,racist,d jajah china dari jajah arab kebanyakn aturan kl g jual saja negaranya sama a biar yang bacot lansung tebas sok suci munafik jd orang koar dank bisanya
6210,user jejak digitalnya dungu,violence,jejak digitalnya dungu
6211,surren ae cok mmnya sibuk ngebuff,violence,suren ae cok mnya sibuk ngebuf
6212,bgst acc abis lock tai,violence,bgst ac abis lock tai
6213,matamu sante cok lord dah masuk base,violence,matamu sante cok lord dah masuk base
6214,user oiyaaa yaa\xf0\x9f\x98\x82 namanya tapon kek ga asing sih nama haha\n\nuda sbar bgt,neutral,oiya ya namanya tapon kek tidak asing nama hahanuda sbar banget
6215,user pmain malaysia dri ga terpngaruh laga dgn label big match gengsi harga bangsa fokus bermain beda dgn yg terbebani dgn label2 diatas semoga piala asia timnas,neutral,pmain malaysia dri tidak terpngaruh laga dengan label big match gengsi harga bangsa fokus bermain beda dengan yang terbebani dengan label diatas semoga piala asia timnas
6216,montod babiii dikasih tim ampas kek gini,violence,montod babi dikasih tim ampas kek gini
6217,cocotmu sante cok lord dah masuk base,violence,cocotmu sante cok lord dah masuk base
6218,agama alat pemecah bangsa yuk jalur nitip negara user user user sang perangkul ulama presiden user,neutral,agama alat pemecah bangsa yuk jalur nitip negara sang perangkul ulama presiden
6219,user ngaku wartawan kosakata lu gembel \xf0\x9f\x98\x80\xf0\x9f\x98\x8a\xf0\x9f\x98\x80\xf0\x9f\x98\x8a,violence,ngaku wartawan kosakata kamu gembel
6220,user user hp cina ya ma,racist,hp cina ya ma
6221,montod bgsttttt dikasih tim ampas kek gini,violence,montod bgst dikasih tim ampas kek gini
6222,cinta monyet cinta layaknya remaja perasaan bertahan,neutral,cinta monyet cinta layaknya remaja perasan bertahan
6223,user ngakak anjir,neutral,ngakak anjir
6224,cewek2 yg bo bnyak yg ga berkualitas foto kenyataan beda harga mahal service jg ga bagus2 amat\nini gua bilang udah pengalaman bo puluhan kali puluhan perek dpt hasil yg memuaskan,harassment,cewek yang bo bnyak yang tidak berkualitas foto kenyatan beda harga mahal service juga tidak bagus amatnini gua bilang sudah pengalaman bo puluhan kali puluhan perek dpt hasil yang memuaskan
6225,selamat eue yg halal bray user user,harassment,selamat eue yang halal bray
6226,user disitulah produsen taplak kotak melejit usahanya,neutral,disitulah produsen taplak kotak melejit usahanya
6227,selamat menjalankan ibadah shalat ashar moodboster user,neutral,selamat menjalankan ibadah shalat ashar modboster
6228,user kek monyet li v pulang woy pulang,violence,kek monyet li v pulang woy pulang
6229,kampanye rasis ngmg nya cina yg untungkan goblok kafir untungkan perkosa bunuh lu enak berduit,racist,kampanye rasis ngmg nya cina yang untungkan goblok kafir untungkan perkosa bunuh kamu enak berduit
6230,user kristen kulit mulus nekat raub pake anggur perjamuan \xf0\x9f\x98\x91\n\nsepertinya pedih,neutral,kristen kulit mulus nekat raub pake angur perjamuan nsepertinya pedih
6231,lu gblok character bacot doang,violence,kamu gblok character bacot doang
6232,a idealis pandai menyimpan rahasia tp sombong,neutral,a idealis pandai menyimpan rahasia tp sombong
6233,kalo main pro si cina g pro,racist,kalau main pro si cina g pro
6234,lu bgo character bacot doang,violence,kamu bgo character bacot doang
6235,user user hahahahahahahaha baper bang cebonk pejuang baper \xf0\x9f\x98\x83,violence,hahahahahahahaha baper bang cebonk pejuang baper
6236,user makasih\niya dom jogja univ kristen,neutral,makasihniya dom jogja univ kristen
6237,user user user eh lgbt gak ush lo bilang gua gantengsory gua normal suka cwe beda lo yg doyan laki,harassment,eh lgbt tidak ush lo bilang gua gantengsory gua normal suka cwe beda lo yang doyan laki
6238,top global 1 narik angin top global joki bang wkwkw,violence,top global narik angin top global joki bang wkwkw
6239,tank panteeqqq gem gua sia2 cok,violence,tank panteq gem gua sia cok
6240,buku lawasgt tangklukan abangan tarekat kebangkitan agama jawa ahmad syafii mufid 2006 319 halaman harga 125000 minat,neutral,buku lawasgt tangklukan abangan tarekat kebangkitan agama jawa ahmad syafi mufid halaman harga minat
6241,user amit amit mulut congor satwa namanya anjing sih,violence,amit amit mulut congor satwa namanya anjing
6242,user rekayasa kacung aseng user cs\nbikin maluuuuu,racist,rekayasa kacung aseng csnbikin malu
6243,top global 1 narik angin top global joki cok wkwkw,violence,top global narik angin top global joki cok wkwkw
6244,tank kampaaangggg gem gua sia2 cok,violence,tank kampang gem gua sia cok
6245,user hrd nya emang bayiiiik huh lupa si u dsr gembrot \xf0\x9f\x98\xa4\xf0\x9f\x98\xa4\xf0\x9f\x98\xa4\xf0\x9f\x98\xa4\xf0\x9f\x98\xa4 url,harassment,hrd nya memang bayik huh lupa si u dsr gembrot url
6246,raja jujur joki menunggangi buaya selamat turun,neutral,raja jujur joki menungangi buaya selamat turun
6247,recoil mu kek kontol turun gak,harassment,recoil mu kek kontol turun tidak
6248,aneh lagunya mic yg doang abang,neutral,aneh lagunya mic yang doang abang
6249,pemerintah indonesia mengeluarkan ruu anti budha biar budha indonesia usir indonesia,racist,pemerintah indonesia mengeluarkan ru anti budha biar budha indonesia usir indonesia
6250,hikayat misa melayu hikayat menceritakan salah silah kesultanan perak budaya negeri perak hikayat dikarang pengarang raja chulan ibn raja hamid,neutral,hikayat misa melayu hikayat menceritakan salah silah kesultanan perak budaya negeri perak hikayat dikarang pengarang raja chulan ibn raja hamid
6251,user kapal karam monyet kasihan patah hati,violence,kapal karam monyet kasihan patah hati
6252,mayoritas etnis china dki\nmengapa solid mendukung kafir\n\ndendam\ntidak nasionalis,racist,mayoritas etnis china dkinmengapa solid mendukung kafirndendamntidak nasionalis
6253,recoil mu kek lg ngentd turun gak,harassment,recoil mu kek lagi ngentd turun tidak
6254,woi medicnya kek bekicot lambat bgt,violence,woi medicnya kek bekicot lambat banget
6255,woy mmek lo hitam kek palkon,harassment,woy mek lo hitam kek palkon
6256,kalean paham si babi cina klo bicara santun bangsat taik anjing setan lo dngn intonasi yg familiar,racist,kalean paham si babi cina klo bicara santun bangsat taik anjing setan lo dngn intonasi yang familiar
6257,budeg dibilang turun pochinki cuk team budeg,violence,budeg dibilang turun pochinki cuk team budeg
6258,user lengket permen karet yg nempel pantat guru,neutral,lengket permen karet yang nempel pantat guru
6259,user kayak komunis aja ga menghargai jasat manusiacebongkomunis,racist,kayak komunis saja tidak menghargai jasat manusiacebongkomunis
6260,dlm agama kristen diajarkan tdk menghakimisilahkan diperbolehkan pd agama sobat,neutral,dlm agama kristen diajarkan tidak menghakimisilahkan diperbolehkan pd agama sobat
6261,woi medicnya kek bekicot lambat bgt ajg,violence,woi medicnya kek bekicot lambat banget ajg
6262,woy kntl lo hitam kek mmk,harassment,woy kntl lo hitam kek mk
6263,bolot dibilang turun pochinki cuk team bolot,violence,bolot dibilang turun pochinki cuk team bolot
6264,seram yal tikus lubang jamban \xf0\x9f\xa4\xa2,neutral,seram yal tikus lubang jamban
6265,kampret kalo typonya email kantor gue ngerasa ngetik serpong pa udah kirim ga r nya \xf0\x9f\x98\x91,violence,kampret kalau typonya email kantor saya ngerasa ngetik serpong pa sudah kirim tidak r nya
6266,aim ampas gue pake panci aja wes duel,violence,aim ampas saya pake panci saja wes duel
6267,user heh poop onta ga songong yaa,violence,heh pop onta tidak songong ya
6268,aim kacrut gue pake panci aja wes duel,violence,aim kacrut saya pake panci saja wes duel
6269,nyetir gak si sim lu nembak gblog tau musuh didatengin,violence,nyetir tidak si sim kamu nembak gblog tau musuh didatengin
6270,rt user engga salah jalur hukum untung tai manusia gak ngomong coba ngomong tai yg nuntut kalian\xf0\x9f\x98\x81\nba\xe2\x80\xa6,violence,rt enga salah jalur hukum untung tai manusia tidak ngomong coba ngomong tai yang nuntut kalianba
6271,user user user user user user user klo katolik ama kristen reformisprotestan skrg giat2nya bereukumene dlm rangka penyatuan pengikut kristus hierarki persis zaman r,neutral,klo katolik ama kristen reformisprotestan skrg giatnya bereukumene dlm rangka penyatuan pengikut kristus hierarki persis zaman r
6272,user user subhanallah sekolah sekolah kristen iman kepercayaan alloh agama islam,neutral,subhanalah sekolah sekolah kristen iman kepercayan aloh agama islam
6273,nyetir gak si sim lu nembak tlol tau musuh didatengin,violence,nyetir tidak si sim kamu nembak tlol tau musuh didatengin
6274,kontolkirimin,harassment,kontolkirimin
6275,user anjg bener bener ayam kampus ya lo,harassment,anjg benar benar ayam kampus ya lo
6276,gue granat palalu dikasih tau suruh planking maju,violence,saya granat palalu dikasih tau suruh planking maju
6277,user user istri menikah ekumene katolik istri protestan diperkenankan katolik agama kristiani izin khusus gereja sah,neutral,istri menikah ekumene katolik istri protestan diperkenankan katolik agama kristiani izin khusus gereja sah
6278,user kek tai mencret anjir,violence,kek tai mencret anjir
6279,user tetep kacung aseng ya,racist,tetep kacung aseng ya
6280,gue ancurin palalu dikasih tau suruh planking maju,violence,saya ancurin palalu dikasih tau suruh planking maju
6281,user user cebong kapir munafik alay goblok hahahaha,racist,cebong kapir munafik alay goblok hahahaha
6282,skin elit aim sulit mo sasaran tembak,violence,skin elit aim sulit mo sasaran tembak
6283,planking begooo mati jengking,violence,planking bego mati jengking
6284,sumpah gw ngaceng abis lihat video ngentot ngisep kontol yg gagah gitu edan,harassment,sumpah saya ngaceng abis lihat video ngentot ngisep kontol yang gagah gitu edan
6285,si sipit menguasai 50 ayo usir si sipit,racist,si sipit menguasai ayo usir si sipit
6286,user user bbb for bangsad,violence,b for bangsad
6287,ayoh bangsa indonesia bersihkan etnis cina perompak aset negara,racist,ayoh bangsa indonesia bersihkan etnis cina perompak aset negara
6288,planking gblkkkkkk mati jengking,violence,planking gblk mati jengking
6289,user user cebong yg emosi\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x85\xf0\x9f\x98\x85,violence,cebong yang emosi
6290,budaya kota solo,neutral,budaya kota solo
6291,pngn ngatain akun2 yg bilang nyari yg seumuran no om2 enakan om2 bego,harassment,pngn ngatain akun yang bilang nyari yang seumuran no om enakan om bego
6292,bocil mytic gendongan retri indomaret,violence,bocil mytic gendongan retri indomaret
6293,user melu kafir,racist,melu kafir
6294,nubi mytic gendongan retri indomaret,violence,nubi mytic gendongan retri indomaret
6295,mental kacung kacung kacung cm kacung yg mw pimpin sm kacung,racist,mental kacung kacung kacung cm kacung yang mw pimpin sama kacung
6296,tu rifle shotgun aim nyebar tolol,violence,tu rifle shotgun aim nyebar tolol
6297,asimilasi masuk pola dominasi budaya dtg menghilangkan budaya masuknya dominasi menghilangkan budaya rumus asimilasi abc,neutral,asimilasi masuk pola dominasi budaya dtg menghilangkan budaya masuknya dominasi menghilangkan budaya rumus asimilasi abc
6298,tu rifle shotgun aim nyebar gblk,violence,tu rifle shotgun aim nyebar gblk
6299,nya sok munafik sih emang dilarang agama ku kalo agama membaca mempelajari \n\xf0\x9f\x99\x8f maaf ya dosa ga nambah dosa,neutral,nya sok munafik memang dilarang agama ku kalau agama membaca mempelajari n maf ya dosa tidak nambah dosa
6300,user user user user fiksi bersifat imajiner naratif dlm fiksiimajinasi hukumnya wajib percaya jd blh percaya blh sesuai narasi pemikiran masing2 orang dlm agama hukumnya wajib percaya pd firman,neutral,fiksi bersifat imajiner naratif dlm fiksimajinasi hukumnya wajib percaya jd blh percaya blh sesuai narasi pemikiran masing orang dlm agama hukumnya wajib percaya pd firman
6301,user bikin frame cebong banget,violence,bikin frame cebong banget
6302,masak eh ajak ngentot sialan url,harassment,masak eh ajak ngentot sialan url
6303,kejar setoran cina ya dasar jongos cina yg membahayakan bangsa negara,racist,kejar setoran cina ya dasar jongos cina yang membahayakan bangsa negara
6304,kali turun pesawat ya dek knock gih,violence,kali turun pesawat ya dek knock gih
6305,dasar jawabisanya ngarit buff,racist,dasar jawabisanya ngarit buf
6306,udah udik gay,harassment,sudah udik gay
6307,kali turun pesawat ya cok knock gih,violence,kali turun pesawat ya cok knock gih
6308,dasar sunda bisanya ngarit buff,racist,dasar sunda bisanya ngarit buf
6309,lo bedain granat ama smoke granat gak si,neutral,lo bedain granat ama smoke granat tidak si
6310,ide prsamaan derajat berasal era reformasi luther abad 16 yg menolak dominasi politik ekonomi gereja katholik dgn mengajukan sbuah konsep menolak legitimasi religius kaum pendeta katholik demokrasi,neutral,ide prsaman derajat berasal era reformasi luther abad yang menolak dominasi politik ekonomi gereja katholik dengan mengajukan sbuah konsep menolak legitimasi religius kaum pendeta katholik demokrasi
6311,disuruh nembak kotak kocak,violence,disuruh nembak kotak kocak
6312,user user cina benalu nkri \xf0\x9f\x90\xb7\xf0\x9f\x90\xb7\xf0\x9f\x90\xb7,racist,cina benalu nkri
6313,yahaha ngerangkak kek bayi nyari susu emaknya,harassment,yahaha ngerangkak kek bayi nyari susu emaknya
6314,disuruh nembak kotak bgst,violence,disuruh nembak kotak bgst
6315,anjir,violence,anjir
6316,user kecoa komplain penggunaan bahasa cina umumsedangkan yg bahasa inggris tidk depermasalahkankarena kecoa takut org bulepengecut doang \xf0\x9f\x98\x82\xf0\x9f\x98\x8,racist,kecoa komplain pengunan bahasa cina umumsedangkan yang bahasa ingris tidk depermasalahkankarena kecoa takut org bulepengecut doang x
6317,yahaha ngerangkak kek bayi pengen netek,harassment,yahaha ngerangkak kek bayi pengen netek
6318,user member laa munafik 3 tuu\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82,violence,member la munafik tu
6319,tai gue aja banget amp ngejarngejar gue eh pa gue udah sayang nyaman cuek amp pergi gitu aja,violence,tai saya saja banget amp ngejarngejar saya eh pa saya sudah sayang nyaman cuek amp pergi gitu saja
6320,user sipit cakep,neutral,sipit cakep
6321,main game cina asw,racist,main game cina asw
6322,udah ngerangkak kek bayi,violence,sudah ngerangkak kek bayi
6323,user pake kolak pisang sm e campur jd kepancing buaya deh,violence,pake kolak pisang sama e campur jd kepancing buaya deh
6324,openfollow for rp follow nih rp sok kecantikan user user rlnya kek tai url,violence,openfolow for rp folow rp sok kecantikan rlnya kek tai url
6325,poke lu anjing yatim bgst,violence,poke kamu anjing yatim bgst
6326,gas bata \nnolelah\npemula,neutral,gas bata nolelahnpemula
6327,poke lu babi yatim bgst,violence,poke kamu babi yatim bgst
6328,user user bacot lu,violence,bacot kamu
6329,poke lu bgst yatim bgst,violence,poke kamu bgst yatim bgst
6330,user user ewe ewe berhadiah,harassment,ewe ewe berhadiah
6331,kangmas mbakyu\nsuka onta kapal\nalesane opo jal\nmbah sempreng baca sm 0817 951 1112 jowal jawil ojo lalikirim salam request lagu palapa fm ditunggu,neutral,kangmas mbakyunsuka onta kapalnalesane opo jalnmbah sempreng baca sama jowal jawil ojo lalikirim salam request lagu palapa fm ditungu
6332,anak pungud diem aja lu,violence,anak pungud diem saja kamu
6333,nenek lu mati aja sono,violence,nenek kamu mati saja sono
6334,gak ngaruh sih wilayah krn udah \xe2\x80\x98naik kelas\xe2\x80\x99 kacrut kemarin benerbener merugikan konsumen,violence,tidak ngaruh wilayah krn sudah naik kelas kacrut kemarin benerbener merugikan konsumen
6335,putuskan hubungan diplomatik myanmar usir orang budha,racist,putuskan hubungan diplomatik myanmar usir orang budha
6336,user adek orang sayang mami lahirin anak tuyul,harassment,adek orang sayang mami lahirin anak tuyul
6337,guru privat koja tk sd smp sma un simak ui sbmptn matematika fisika kimia biologi akuntansi ekonomi,neutral,guru privat koja tk sd smp sma un simak ui sbmptn matematika fisika kimia biologi akuntansi ekonomi
6338,nenek lu mampus aja sono,violence,nenek kamu mampus saja sono
6339,user ya klo ga perbedaan dunia in aneh ga coba simak duluitu masakan garamistlhnya\ndi dunia pria bagus ga cewek smua bagus kgaatau kristen smua islam smua,neutral,ya klo tidak perbedan dunia in aneh tidak coba simak duluitu masakan garamistlhnyandi dunia pria bagus tidak cewek smua bagus kgatau kristen smua islam smua
6340,woy jawir main yg bner,racist,woy jawir main yang bner
6341,kecacatan lgbt ruang kononnya kebebasan hak hedonisme dirancakkan radiohead,harassment,kecacatan lgbt ruang kononya kebebasan hak hedonisme dirancakan radiohead
6342,syarat tai chi kudu tauk yg dimainkan lawan kudu tauk materi yg oleh\xe2\x80\xa6,neutral,syarat tai chi kudu tauk yang dimainkan lawan kudu tauk materi yang oleh
6343,woy cina main yg bner,racist,woy cina main yang bner
6344,kerja anak gue senyumin anaknya nangis bilang papahnya pah cici kaya vampir taringnya\n\nbangsad\nmakasih loh deee\ngue sedot tuh ubun ubun,racist,kerja anak saya senyumin anaknya nangis bilang papahnya pah cici kaya vampir taringnyanbangsadnmakasih loh dengue sedot tuh ubun ubun
6345,woy malay main yg bner,racist,woy malay main yang bner
6346,agama kebudayaan budaya mempengaruhi orang2 kristen yunani yahudi pd gereja purba konflik2nya rasul paulus turun tangan utk meredakan konflik yg mempelajari dida,neutral,agama kebudayan budaya mempengaruhi orang kristen yunani yahudi pd gereja purba konfliknya rasul paulus turun tangan untuk meredakan konflik yang mempelajari dida
6347,main aja poke kek kontol,harassment,main saja poke kek kontol
6348,ank kdm pch mndg diem,harassment,ank kdm pch mndg diem
6349,user user hahahaha gue ngatain agama islam hayoo hahaha debat lo model gitu idih gak level debat gara2 salah tangkep kalimat bikin malu malu cebong islam agamanya lo hina2 hahahaha sungguh kaum cebong ka,racist,hahahaha saya ngatain agama islam hayo hahaha debat lo model gitu idih tidak level debat gara salah tangkep kalimat bikin malu malu cebong islam agamanya lo hina hahahaha sunguh kaum cebong ka
6350,user user wes lemu ireng kafir sisan\n\nasu,racist,wes lemu ireng kafir sisanasu
6351,ank kdm bcr mndg diem,harassment,ank kdm bcr mndg diem
6352,user user si user mah dungu bin dongok dungunya smpai kalo operasi inteligen bikin anarkisme ribuan massa yg trlibat anggota intel wesgak mutu blas org modalnya cm mulut njeplak,violence,si mah dungu bin dongok dungunya smpai kalau operasi inteligen bikin anarkisme ribuan masa yang trlibat angota intel wesgak mutu blas org modalnya cm mulut njeplak
6353,user user dasar duo homo sarap hadehh pusing pala bebi,harassment,dasar duo homo sarap hadeh pusing pala bebi
6354,main aja poke kek mmk,harassment,main saja poke kek mk
6355,test test\n\ndisini gua crita 2 crita skaligus haha gua crita dokter forensik yg berhubungan langsung sm makhluk goib\xe2\x80\xa6,neutral,test testndisini gua crita crita skaligus haha gua crita dokter forensik yang berhubungan langsung sama makhluk goib
6356,jancok bajingan bangsat tai asu,violence,jancok bajingan bangsat tai asu
6357,jimin ganteng banget bangkai,neutral,jimin ganteng banget bangkai
6358,aceh bersekolah sekolah kristen guru sekolahnya muslim yant pakai peci teman2 budha yany sekolah aceh aceh ngga diberitakan ngga dipaksa pakai jilbab dipaksa,neutral,aceh bersekolah sekolah kristen guru sekolahnya muslim yant pakai peci teman budha yany sekolah aceh aceh nga diberitakan nga dipaksa pakai jilbab dipaksa
6359,jancok bajingan bangsat telek asu,violence,jancok bajingan bangsat telek asu
6360,tititmu mledak mati aja sono,harassment,tititmu mledak mati saja sono
